county,state,pay,employee
Pipestone,Minnesota,3012,63
Ramsey,Minnesota,103609,1934
Redwood,Minnesota,16734,370
Roseau,Minnesota,223,9
Scott,Minnesota,20595,295
Sherburne,Minnesota,19114,264
St. Louis,Minnesota,12301,275
Stearns,Minnesota,33769,599
Todd,Minnesota,1027,20
Wabasha,Minnesota,217,8
Wadena,Minnesota,1688,53
Washington,Minnesota,208058,3230
Winona,Minnesota,548,17
Wright,Minnesota,4100,102
Adams,Mississippi,5381,160
Alcorn,Mississippi,3180,99
Amite,Mississippi,18948,428
Attala,Mississippi,661,19
Calhoun,Mississippi,13678,294
Carroll,Mississippi,706,23
Chickasaw,Mississippi,12182,345
Choctaw,Mississippi,9252,250
Claiborne,Mississippi,6095,115
Clarke,Mississippi,2945,92
Copiah,Mississippi,1583,36
Covington,Mississippi,3554,90
DeSoto,Mississippi,18184,382
Forrest,Mississippi,25173,542
Franklin,Mississippi,2414,53
George,Mississippi,1226,28
Greene,Mississippi,5169,131
Grenada,Mississippi,32486,624
Hancock,Mississippi,281,9
Hinds,Mississippi,13103,309
Itawamba,Mississippi,5869,182
Jackson,Mississippi,1802,79
Jasper,Mississippi,931,29
Jefferson,Mississippi,793,19
Jones,Mississippi,34812,796
Kemper,Mississippi,1719,51
Lamar,Mississippi,8831,188
Lauderdale,Mississippi,9992,296
Lawrence,Mississippi,3058,69
Leake,Mississippi,3021,62
Lee,Mississippi,27097,494
Lincoln,Mississippi,22452,549
Lowndes,Mississippi,6316,140
Madison,Mississippi,907,33
Marion,Mississippi,19493,215
Marshall,Mississippi,4129,111
Monroe,Mississippi,4905,146
Montgomery,Mississippi,2600,85
Neshoba,Mississippi,15008,240
Newton,Mississippi,7405,182
Noxubee,Mississippi,15609,326
Oktibbeha,Mississippi,1607,43
Panola,Mississippi,1000,24
Pearl River,Mississippi,3123,60
Perry,Mississippi,15838,388
Pike,Mississippi,29475,482
Pontotoc,Mississippi,6251,184
Prentiss,Mississippi,2500,109
Rankin,Mississippi,30365,487
Scott,Mississippi,12207,329
Simpson,Mississippi,815,24
Smith,Mississippi,33772,689
Stone,Mississippi,21946,450
Tippah,Mississippi,677,18
Tishomingo,Mississippi,6086,160
Walthall,Mississippi,12672,276
Warren,Mississippi,20468,593
Wayne,Mississippi,20360,433
Webster,Mississippi,2162,63
Wilkinson,Mississippi,1203,34
Winston,Mississippi,26501,563
Yazoo,Mississippi,995,35
Barton,Missouri,2045,74
Benton,Missouri,619,20
Bollinger,Missouri,2681,99
Boone,Missouri,1706,50
Buchanan,Missouri,1814,64
Cape Girardeau,Missouri,1841,48
Carroll,Missouri,1748,58
Carter,Missouri,2555,106
Cass,Missouri,6837,170
Clay,Missouri,44634,791
Clinton,Missouri,3271,111
Cole,Missouri,4824,108
Crawford,Missouri,13338,337
Dent,Missouri,7395,181
Douglas,Missouri,704,72
Franklin,Missouri,23753,498
Gasconade,Missouri,2495,83
Greene,Missouri,39366,726
Howell,Missouri,27044,840
Iron,Missouri,426,21
Jackson,Missouri,114050,2363
Jasper,Missouri,34778,814
Jefferson,Missouri,170,6
Johnson,Missouri,393,20
Laclede,Missouri,28508,468
Lawrence,Missouri,2462,83
Lincoln,Missouri,3327,90
Madison,Missouri,4104,118
McDonald,Missouri,750,26
Miller,Missouri,839,31
Moniteau,Missouri,1539,61
Montgomery,Missouri,6057,145
Morgan,Missouri,134,5
Newton,Missouri,1742,50
Oregon,Missouri,2699,107
Osage,Missouri,1240,36
Perry,Missouri,11589,256
Phelps,Missouri,424,17
Randolph,Missouri,1508,49
Reynolds,Missouri,11221,363
Ripley,Missouri,1441,83
Scotland,Missouri,1806,58
Scott,Missouri,18999,441
Shannon,Missouri,6497,304
St. Charles,Missouri,1560,28
St. Francois,Missouri,183,5
St. Louis,Missouri,77419,1355
St. Louis city,Missouri,42024,884
Ste. Genevieve,Missouri,2215,83
Stoddard,Missouri,1471,55
Taney,Missouri,163,7
Texas,Missouri,4099,145
Vernon,Missouri,386,16
Washington,Missouri,2749,106
Wayne,Missouri,999,48
Webster,Missouri,2230,63
Wright,Missouri,903,40
Broadwater,Montana,3829,118
Cascade,Montana,1353,31
Fergus,Montana,547,13
Flathead,Montana,58646,1137
Gallatin,Montana,3040,65
Granite,Montana,1543,46
